localita,dt,type,value
Andria,2012-01-01,min,2
Andria,2012-01-01,max,12
Andria,2012-01-02,min,1
Andria,2012-01-02,max,14
Andria,2012-01-03,min,5
Andria,2012-01-03,max,15
Andria,2012-01-04,min,5
Andria,2012-01-04,max,15
Andria,2012-01-05,min,5
Andria,2012-01-05,max,14
Andria,2012-01-06,min,5
Andria,2012-01-06,max,10
Andria,2012-01-07,min,4
Andria,2012-01-07,max,8
Andria,2012-01-08,min,3
Andria,2012-01-08,max,12
Andria,2012-01-09,min,5
Andria,2012-01-09,max,9
Andria,2012-01-10,min,3
Andria,2012-01-10,max,10
Andria,2012-01-11,min,5
Andria,2012-01-11,max,10
Andria,2012-01-12,min,4
Andria,2012-01-12,max,12
Andria,2012-01-13,min,3
Andria,2012-01-13,max,14
Andria,2012-01-14,min,4
Andria,2012-01-14,max,10
Andria,2012-01-15,min,2
Andria,2012-01-15,max,7
Andria,2012-01-16,min,-1
Andria,2012-01-16,max,6
Andria,2012-01-17,min,-1
Andria,2012-01-17,max,6
Andria,2012-01-18,min,1
Andria,2012-01-18,max,9
Andria,2012-01-19,min,1
Andria,2012-01-19,max,12
Andria,2012-01-20,min,4
Andria,2012-01-20,max,14
Andria,2012-01-21,min,4
Andria,2012-01-21,max,11
Andria,2012-01-22,min,3
Andria,2012-01-22,max,15
Andria,2012-01-23,min,4
Andria,2012-01-23,max,14
Andria,2012-01-24,min,5
Andria,2012-01-24,max,13
Andria,2012-01-25,min,4
Andria,2012-01-25,max,7
Andria,2012-01-26,min,3
Andria,2012-01-26,max,7
Andria,2012-01-27,min,2
Andria,2012-01-27,max,7
Andria,2012-01-28,min,-1
Andria,2012-01-28,max,9
Andria,2012-01-29,min,1
Andria,2012-01-29,max,10
Andria,2012-01-30,min,3
Andria,2012-01-30,max,8
Andria,2012-01-31,min,2
Andria,2012-01-31,max,9
Andria,2012-02-01,min,3
Andria,2012-02-01,max,7
Andria,2012-02-02,min,1
Andria,2012-02-02,max,9
Andria,2012-02-03,min,5
Andria,2012-02-03,max,9
Andria,2012-02-04,min,2
Andria,2012-02-04,max,7
Andria,2012-02-05,min,-1
Andria,2012-02-05,max,7
Andria,2012-02-06,min,0
Andria,2012-02-06,max,3
Andria,2012-02-07,min,0
Andria,2012-02-07,max,3
Andria,2012-02-08,min,2
Andria,2012-02-08,max,7
Andria,2012-02-09,min,2
Andria,2012-02-09,max,5
Andria,2012-02-10,min,2
Andria,2012-02-10,max,6
Andria,2012-02-11,min,4
Andria,2012-02-11,max,10
Andria,2012-02-12,min,2
Andria,2012-02-12,max,5
Andria,2012-02-13,min,-2
Andria,2012-02-13,max,7
Andria,2012-02-14,min,0
Andria,2012-02-14,max,5
Andria,2012-02-15,min,1
Andria,2012-02-15,max,7
Andria,2012-02-16,min,2
Andria,2012-02-16,max,6
Andria,2012-02-17,min,2
Andria,2012-02-17,max,7
Andria,2012-02-18,min,0
Andria,2012-02-18,max,12
Andria,2012-02-19,min,3
Andria,2012-02-19,max,13
